5000	10000
288	1
659	2
45	4
433	44
545	68
54	7
329	100
876	74
537	87
431	16
492	12
804	94
628	54
3	11
397	26
922	85
637	46
212	30
903	84
163	17
1000	36
465	30
665	94
45	56
438	16
812	57
878	14
606	83
245	10
266	1
270	94
716	59
749	52
751	79
500	29
46	4
188	17
839	60
342	42
194	16
434	72
358	11
584	76
149	13
758	51
89	97
561	61
615	8
511	4
99	63
549	31
356	43
852	4
561	28
257	89
556	56
781	3
974	80
578	11
283	40
664	14
623	42
806	2
970	65
853	85
544	52
345	25
212	71
241	9
478	50
890	51
906	7
543	86
563	26
484	10
95	47
426	90
645	58
429	42
445	28
669	65
535	56
74	56
510	57
108	39
366	22
841	51
28	1
448	53
117	16
277	70
290	88
318	32
162	16
206	4
784	63
824	68
679	73
734	39
923	35
402	23
697	24
830	54
90	34
799	59
396	73
55	95
346	14
42	48
110	4
569	25
740	96
990	15
816	82
751	67
274	7
118	12
104	84
464	31
733	70
797	85
785	99
32	60
58	42
575	1
817	58
533	81
912	93
502	82
178	43
899	35
323	4
215	19
378	46
168	63
980	69
986	35
596	49
777	86
991	18
861	47
308	62
467	87
444	13
738	32
158	32
307	84
215	57
156	11
544	2
790	1
864	60
574	68
603	87
745	64
331	59
884	67
70	85
395	99
256	83
808	22
379	8
758	94
869	100
142	45
249	96
762	6
959	1
809	72
744	97
514	27
269	77
828	97
216	41
693	50
117	61
329	35
858	13
86	16
517	92
341	72
373	84
404	14
923	17
138	88
882	47
242	50
541	53
380	32
320	31
856	76
571	74
117	40
306	71
545	11
703	97
729	97
420	75
387	64
724	1
50	16
810	49
979	46
732	97
965	25
888	36
734	89
472	10
28	33
363	52
744	82
748	75
714	52
127	87
737	4
104	39
233	47
14	67
659	3
433	51
511	15
352	18
61	75
990	25
117	33
829	13
411	2
51	86
439	56
621	93
132	27
121	89
647	94
144	81
34	84
852	93
682	3
302	23
926	61
836	75
713	48
969	22
394	54
325	22
858	54
494	14
605	29
679	37
220	96
544	52
50	57
670	65
646	81
28	45
537	81
34	12
880	80
206	67
892	95
57	7
585	81
731	17
771	45
920	37
384	50
717	90
929	67
718	37
770	60
514	62
989	8
385	24
186	86
124	49
227	88
815	97
45	98
11	21
672	88
70	76
842	40
863	89
89	98
300	87
232	13
134	64
196	57
304	96
399	48
308	18
837	6
943	16
861	88
710	60
162	10
432	69
963	45
878	55
760	73
801	50
638	35
498	29
492	84
216	42
559	38
661	40
51	25
634	85
931	24
596	17
754	70
87	34
691	30
283	14
831	25
916	30
637	10
70	12
798	55
87	15
977	52
623	97
780	64
855	22
349	38
670	88
312	68
658	54
170	54
829	4
5	62
421	99
76	20
312	85
922	67
503	96
630	77
259	87
594	84
350	81
484	85
324	20
52	45
617	77
47	34
428	15
180	59
100	89
77	27
82	72
24	71
520	99
70	89
560	89
875	84
248	80
208	78
876	79
846	81
213	15
940	41
920	50
530	40
818	36
494	91
931	41
615	81
576	70
49	25
214	30
